timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610491116961,324,Parent,200,"Number of samples in transaction : 1, number of failing samples : 0",Group of 20 1-1,,true,,997,125,7,7,null,0,0,155
1610491116961,324,HTTP Request,200,OK,Group of 20 1-1,text,true,,997,125,7,7,http://ghibliapi.herokuapp.com/,324,0,155
1610491117013,325,Parent,200,"Number of samples in transaction : 1, number of failing samples : 0",Group of 20 1-2,,true,,997,125,7,7,null,0,1,150
1610491117014,325,HTTP Request,200,OK,Group of 20 1-2,text,true,,997,125,7,7,http://ghibliapi.herokuapp.com/,325,0,150
1610491117061,317,Parent,200,"Number of samples in transaction : 1, number of failing samples : 0",Group of 20 1-3,,true,,997,125,7,7,null,0,2,149
1610491117063,317,HTTP Request,200,OK,Group of 20 1-3,text,true,,997,125,7,7,http://ghibliapi.herokuapp.com/,317,0,149
1610491117113,317,Parent,200,"Number of samples in transaction : 1, number of failing samples : 0",Group of 20 1-4,,true,,997,125,7,7,null,0,1,150
1610491117114,317,HTTP Request,200,OK,Group of 20 1-4,text,true,,997,125,7,7,http://ghibliapi.herokuapp.com/,317,0,150
1610491117162,315,Parent,200,"Number of samples in transaction : 1, number of failing samples : 0",Group of 20 1-5,,true,,997,125,7,7,null,0,2,151
1610491117163,315,HTTP Request,200,OK,Group of 20 1-5,text,true,,997,125,7,7,http://ghibliapi.herokuapp.com/,315,0,151
1610491117211,321,Parent,200,"Number of samples in transaction : 1, number of failing samples : 0",Group of 20 1-6,,true,,997,125,7,7,null,0,1,156
1610491117212,321,HTTP Request,200,OK,Group of 20 1-6,text,true,,997,125,7,7,http://ghibliapi.herokuapp.com/,321,0,156
1610491117264,323,Parent,200,"Number of samples in transaction : 1, number of failing samples : 0",Group of 20 1-7,,true,,997,125,7,7,null,0,1,151
1610491117265,323,HTTP Request,200,OK,Group of 20 1-7,text,true,,997,125,7,7,http://ghibliapi.herokuapp.com/,323,0,151
1610491117312,313,Parent,200,"Number of samples in transaction : 1, number of failing samples : 0",Group of 20 1-8,,true,,997,125,7,7,null,0,1,153
1610491117313,313,HTTP Request,200,OK,Group of 20 1-8,text,true,,997,125,7,7,http://ghibliapi.herokuapp.com/,313,0,153
1610491117362,314,Parent,200,"Number of samples in transaction : 1, number of failing samples : 0",Group of 20 1-9,,true,,997,125,7,7,null,0,2,151
1610491117364,314,HTTP Request,200,OK,Group of 20 1-9,text,true,,997,125,7,7,http://ghibliapi.herokuapp.com/,314,0,151
1610491117411,320,Parent,200,"Number of samples in transaction : 1, number of failing samples : 0",Group of 20 1-10,,true,,997,125,7,7,null,0,1,152
1610491117412,320,HTTP Request,200,OK,Group of 20 1-10,text,true,,997,125,7,7,http://ghibliapi.herokuapp.com/,320,0,152
1610491117462,308,Parent,200,"Number of samples in transaction : 1, number of failing samples : 0",Group of 20 1-11,,true,,997,125,7,7,null,0,2,149
1610491117463,308,HTTP Request,200,OK,Group of 20 1-11,text,true,,997,125,7,7,http://ghibliapi.herokuapp.com/,308,0,149
1610491117511,309,Parent,200,"Number of samples in transaction : 1, number of failing samples : 0",Group of 20 1-12,,true,,997,125,7,7,null,0,1,150
1610491117512,309,HTTP Request,200,OK,Group of 20 1-12,text,true,,997,125,7,7,http://ghibliapi.herokuapp.com/,309,0,150
1610491117560,311,Parent,200,"Number of samples in transaction : 1, number of failing samples : 0",Group of 20 1-13,,true,,997,125,7,7,null,0,2,150
1610491117561,311,HTTP Request,200,OK,Group of 20 1-13,text,true,,997,125,7,7,http://ghibliapi.herokuapp.com/,311,0,150
1610491117612,310,Parent,200,"Number of samples in transaction : 1, number of failing samples : 0",Group of 20 1-14,,true,,997,125,7,7,null,0,0,151
1610491117612,310,HTTP Request,200,OK,Group of 20 1-14,text,true,,997,125,7,7,http://ghibliapi.herokuapp.com/,310,0,151
1610491117662,309,Parent,200,"Number of samples in transaction : 1, number of failing samples : 0",Group of 20 1-15,,true,,997,125,6,6,null,0,1,151
1610491117663,309,HTTP Request,200,OK,Group of 20 1-15,text,true,,997,125,6,6,http://ghibliapi.herokuapp.com/,309,0,151
1610491117711,345,Parent,200,"Number of samples in transaction : 1, number of failing samples : 0",Group of 20 1-16,,true,,997,125,5,5,null,0,1,186
1610491117712,345,HTTP Request,200,OK,Group of 20 1-16,text,true,,997,125,5,5,http://ghibliapi.herokuapp.com/,345,0,186
