timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610552553310,1319,HTTP Request,200,OK,Load_Test 2-100,text,true,,3456,248,15,15,https://blazedemo.com/index.php,405,0,194
1610552553310,407,HTTP Request-0,302,Found,Load_Test 2-100,text,true,,228,124,15,15,http://blazedemo.com/index.php,405,0,194
1610552553720,909,HTTP Request-1,200,OK,Load_Test 2-100,text,true,,3228,124,15,15,https://blazedemo.com/index.php,909,0,510
1610552553715,944,HTTP Request,200,OK,Load_Test 2-95,text,true,,3456,248,15,15,https://blazedemo.com/index.php,264,0,63
1610552553715,264,HTTP Request-0,302,Found,Load_Test 2-95,text,true,,228,124,15,15,http://blazedemo.com/index.php,264,0,63
1610552553980,679,HTTP Request-1,200,OK,Load_Test 2-95,text,true,,3228,124,15,15,https://blazedemo.com/index.php,678,0,250
1610552553517,1151,HTTP Request,200,OK,Load_Test 2-97,text,true,,3456,248,15,15,https://blazedemo.com/index.php,261,0,71
1610552553517,261,HTTP Request-0,302,Found,Load_Test 2-97,text,true,,228,124,15,15,http://blazedemo.com/index.php,261,0,71
1610552553779,889,HTTP Request-1,200,OK,Load_Test 2-97,text,true,,3228,124,15,15,https://blazedemo.com/index.php,887,0,451
1610552553817,891,HTTP Request,200,OK,Load_Test 2-94,text,true,,3456,248,15,15,https://blazedemo.com/index.php,286,0,78
1610552553817,286,HTTP Request-0,302,Found,Load_Test 2-94,text,true,,228,124,15,15,http://blazedemo.com/index.php,286,0,78
1610552554104,604,HTTP Request-1,200,OK,Load_Test 2-94,text,true,,3228,124,15,15,https://blazedemo.com/index.php,604,0,192
1610552553318,1398,HTTP Request,200,OK,Load_Test 2-99,text,true,,3456,248,16,16,https://blazedemo.com/index.php,397,0,186
1610552553318,399,HTTP Request-0,302,Found,Load_Test 2-99,text,true,,228,124,16,16,http://blazedemo.com/index.php,397,0,186
1610552553719,997,HTTP Request-1,200,OK,Load_Test 2-99,text,true,,3228,124,16,16,https://blazedemo.com/index.php,997,0,511
1610552553917,879,HTTP Request,200,OK,Load_Test 2-93,text,true,,3456,248,16,16,https://blazedemo.com/index.php,265,0,66
1610552553917,265,HTTP Request-0,302,Found,Load_Test 2-93,text,true,,228,124,16,16,http://blazedemo.com/index.php,265,0,66
1610552554183,613,HTTP Request-1,200,OK,Load_Test 2-93,text,true,,3228,124,16,16,https://blazedemo.com/index.php,612,0,181
1610552553417,1436,HTTP Request,200,OK,Load_Test 2-98,text,true,,3456,248,17,17,https://blazedemo.com/index.php,298,0,87
1610552553417,300,HTTP Request-0,302,Found,Load_Test 2-98,text,true,,228,124,17,17,http://blazedemo.com/index.php,298,0,87
1610552553719,1134,HTTP Request-1,200,OK,Load_Test 2-98,text,true,,3228,124,17,17,https://blazedemo.com/index.php,1133,0,511
1610552554016,839,HTTP Request,200,OK,Load_Test 2-92,text,true,,3456,248,17,17,https://blazedemo.com/index.php,282,0,87
1610552554016,282,HTTP Request-0,302,Found,Load_Test 2-92,text,true,,228,124,17,17,http://blazedemo.com/index.php,282,0,87
1610552554299,556,HTTP Request-1,200,OK,Load_Test 2-92,text,true,,3228,124,17,17,https://blazedemo.com/index.php,553,0,192
1610552553615,1271,HTTP Request,200,OK,Load_Test 2-96,text,true,,3456,248,17,17,https://blazedemo.com/index.php,287,0,80
1610552553615,287,HTTP Request-0,302,Found,Load_Test 2-96,text,true,,228,124,17,17,http://blazedemo.com/index.php,287,0,80
1610552553903,983,HTTP Request-1,200,OK,Load_Test 2-96,text,true,,3228,124,17,17,https://blazedemo.com/index.php,982,0,327
1610552554216,778,HTTP Request,200,OK,Load_Test 2-90,text,true,,3456,248,18,18,https://blazedemo.com/index.php,261,0,49
1610552554216,261,HTTP Request-0,302,Found,Load_Test 2-90,text,true,,228,124,18,18,http://blazedemo.com/index.php,261,0,49
1610552554477,517,HTTP Request-1,200,OK,Load_Test 2-90,text,true,,3228,124,18,18,https://blazedemo.com/index.php,515,0,181
1610552554117,925,HTTP Request,200,OK,Load_Test 2-91,text,true,,3456,248,19,19,https://blazedemo.com/index.php,268,0,65
1610552554117,268,HTTP Request-0,302,Found,Load_Test 2-91,text,true,,228,124,19,19,http://blazedemo.com/index.php,268,0,65
1610552554386,656,HTTP Request-1,200,OK,Load_Test 2-91,text,true,,3228,124,19,19,https://blazedemo.com/index.php,654,0,186
1610552554316,786,HTTP Request,200,OK,Load_Test 2-89,text,true,,3456,248,19,19,https://blazedemo.com/index.php,260,0,61
1610552554316,260,HTTP Request-0,302,Found,Load_Test 2-89,text,true,,228,124,19,19,http://blazedemo.com/index.php,260,0,61
1610552554577,525,HTTP Request-1,200,OK,Load_Test 2-89,text,true,,3228,124,19,19,https://blazedemo.com/index.php,525,0,151
1610552554416,771,HTTP Request,200,OK,Load_Test 2-88,text,true,,3456,248,20,20,https://blazedemo.com/index.php,264,0,80
1610552554416,264,HTTP Request-0,302,Found,Load_Test 2-88,text,true,,228,124,20,20,http://blazedemo.com/index.php,264,0,80
1610552554681,506,HTTP Request-1,200,OK,Load_Test 2-88,text,true,,3228,124,20,20,https://blazedemo.com/index.php,503,0,176
1610552554515,720,HTTP Request,200,OK,Load_Test 2-87,text,true,,3456,248,21,21,https://blazedemo.com/index.php,249,0,61
1610552554515,249,HTTP Request-0,302,Found,Load_Test 2-87,text,true,,228,124,21,21,http://blazedemo.com/index.php,249,0,61
1610552554764,471,HTTP Request-1,200,OK,Load_Test 2-87,text,true,,3228,124,21,21,https://blazedemo.com/index.php,469,0,175
1610552554617,891,HTTP Request,200,OK,Load_Test 2-86,text,true,,3456,248,23,23,https://blazedemo.com/index.php,276,0,77
1610552554617,276,HTTP Request-0,302,Found,Load_Test 2-86,text,true,,228,124,23,23,http://blazedemo.com/index.php,276,0,77
1610552554894,614,HTTP Request-1,200,OK,Load_Test 2-86,text,true,,3228,124,23,23,https://blazedemo.com/index.php,614,0,174
1610552554798,737,HTTP Request,200,OK,Load_Test 2-93,text,true,,3456,248,24,24,https://blazedemo.com/index.php,278,0,66
1610552554798,278,HTTP Request-0,302,Found,Load_Test 2-93,text,true,,228,124,24,24,http://blazedemo.com/index.php,278,0,66
1610552555079,456,HTTP Request-1,200,OK,Load_Test 2-93,text,true,,3228,124,24,24,https://blazedemo.com/index.php,450,0,171
1610552554857,729,HTTP Request,200,OK,Load_Test 2-92,text,true,,3456,248,24,24,https://blazedemo.com/index.php,277,0,85
1610552554857,277,HTTP Request-0,302,Found,Load_Test 2-92,text,true,,228,124,24,24,http://blazedemo.com/index.php,277,0,85
1610552555134,452,HTTP Request-1,200,OK,Load_Test 2-92,text,true,,3228,124,24,24,https://blazedemo.com/index.php,451,0,159
1610552554817,783,HTTP Request,200,OK,Load_Test 2-84,text,true,,3456,248,24,24,https://blazedemo.com/index.php,285,0,95
1610552554817,285,HTTP Request-0,302,Found,Load_Test 2-84,text,true,,228,124,24,24,http://blazedemo.com/index.php,285,0,95
1610552555103,497,HTTP Request-1,200,OK,Load_Test 2-84,text,true,,3228,124,24,24,https://blazedemo.com/index.php,493,0,190
1610552554855,779,HTTP Request,200,OK,Load_Test 2-98,text,true,,3456,248,25,25,https://blazedemo.com/index.php,273,0,87
1610552554634,1000,HTTP Request,200,OK,Load_Test 2-100,text,true,,3456,248,25,25,https://blazedemo.com/index.php,259,0,70
1610552554855,273,HTTP Request-0,302,Found,Load_Test 2-98,text,true,,228,124,25,25,http://blazedemo.com/index.php,273,0,87
1610552554634,259,HTTP Request-0,302,Found,Load_Test 2-100,text,true,,228,124,25,25,http://blazedemo.com/index.php,259,0,70
1610552555128,506,HTTP Request-1,200,OK,Load_Test 2-98,text,true,,3228,124,25,25,https://blazedemo.com/index.php,506,0,165
1610552554893,741,HTTP Request-1,200,OK,Load_Test 2-100,text,true,,3228,124,25,25,https://blazedemo.com/index.php,741,0,141
1610552554717,975,HTTP Request,200,OK,Load_Test 2-99,text,true,,3456,248,25,25,https://blazedemo.com/index.php,261,0,65
1610552554717,261,HTTP Request-0,302,Found,Load_Test 2-99,text,true,,228,124,25,25,http://blazedemo.com/index.php,261,0,65
1610552554978,714,HTTP Request-1,200,OK,Load_Test 2-99,text,true,,3228,124,25,25,https://blazedemo.com/index.php,711,0,205
1610552554888,836,HTTP Request,200,OK,Load_Test 2-96,text,true,,3456,248,26,26,https://blazedemo.com/index.php,240,0,56
1610552554888,240,HTTP Request-0,302,Found,Load_Test 2-96,text,true,,228,124,26,26,http://blazedemo.com/index.php,240,0,56
1610552555128,596,HTTP Request-1,200,OK,Load_Test 2-96,text,true,,3228,124,26,26,https://blazedemo.com/index.php,594,0,175
1610552554669,1067,HTTP Request,200,OK,Load_Test 2-97,text,true,,3456,248,26,26,https://blazedemo.com/index.php,274,0,77
1610552554669,274,HTTP Request-0,302,Found,Load_Test 2-97,text,true,,228,124,26,26,http://blazedemo.com/index.php,274,0,77
1610552554943,793,HTTP Request-1,200,OK,Load_Test 2-97,text,true,,3228,124,26,26,https://blazedemo.com/index.php,791,0,155
1610552555043,785,HTTP Request,200,OK,Load_Test 2-91,text,true,,3456,248,27,27,https://blazedemo.com/index.php,253,0,68
1610552555043,253,HTTP Request-0,302,Found,Load_Test 2-91,text,true,,228,124,27,27,http://blazedemo.com/index.php,253,0,68
1610552555297,531,HTTP Request-1,200,OK,Load_Test 2-91,text,true,,3228,124,27,27,https://blazedemo.com/index.php,523,0,161
1610552554995,833,HTTP Request,200,OK,Load_Test 2-90,text,true,,3456,248,27,27,https://blazedemo.com/index.php,286,0,81
1610552554995,286,HTTP Request-0,302,Found,Load_Test 2-90,text,true,,228,124,27,27,http://blazedemo.com/index.php,286,0,81
1610552555281,547,HTTP Request-1,200,OK,Load_Test 2-90,text,true,,3228,124,27,27,https://blazedemo.com/index.php,547,0,183
1610552554916,959,HTTP Request,200,OK,Load_Test 2-83,text,true,,3456,248,27,27,https://blazedemo.com/index.php,268,0,66
1610552554916,268,HTTP Request-0,302,Found,Load_Test 2-83,text,true,,228,124,27,27,http://blazedemo.com/index.php,268,0,66
1610552555184,691,HTTP Request-1,200,OK,Load_Test 2-83,text,true,,3228,124,27,27,https://blazedemo.com/index.php,691,0,185
1610552555016,877,HTTP Request,200,OK,Load_Test 2-82,text,true,,3456,248,27,27,https://blazedemo.com/index.php,265,0,69
1610552555016,265,HTTP Request-0,302,Found,Load_Test 2-82,text,true,,228,124,27,27,http://blazedemo.com/index.php,265,0,69
1610552555282,611,HTTP Request-1,200,OK,Load_Test 2-82,text,true,,3228,124,27,27,https://blazedemo.com/index.php,611,0,176
1610552555116,798,HTTP Request,200,OK,Load_Test 2-81,text,true,,3456,248,27,27,https://blazedemo.com/index.php,271,0,68
1610552555116,271,HTTP Request-0,302,Found,Load_Test 2-81,text,true,,228,124,27,27,http://blazedemo.com/index.php,271,0,68
1610552555388,526,HTTP Request-1,200,OK,Load_Test 2-81,text,true,,3228,124,27,27,https://blazedemo.com/index.php,525,0,151
1610552555216,754,HTTP Request,200,OK,Load_Test 2-80,text,true,,3456,248,28,28,https://blazedemo.com/index.php,248,0,64
1610552555216,248,HTTP Request-0,302,Found,Load_Test 2-80,text,true,,228,124,28,28,http://blazedemo.com/index.php,248,0,64
1610552555465,505,HTTP Request-1,200,OK,Load_Test 2-80,text,true,,3228,124,28,28,https://blazedemo.com/index.php,493,0,176
1610552554660,1311,HTTP Request,200,OK,Load_Test 2-95,text,true,,3456,248,28,28,https://blazedemo.com/index.php,761,0,58
1610552554660,761,HTTP Request-0,302,Found,Load_Test 2-95,text,true,,228,124,28,28,http://blazedemo.com/index.php,761,0,58
1610552555421,550,HTTP Request-1,200,OK,Load_Test 2-95,text,true,,3228,124,28,28,https://blazedemo.com/index.php,549,0,199
1610552555188,866,HTTP Request,200,OK,Load_Test 2-88,text,true,,3456,248,29,29,https://blazedemo.com/index.php,274,0,76
1610552555188,274,HTTP Request-0,302,Found,Load_Test 2-88,text,true,,228,124,29,29,http://blazedemo.com/index.php,274,0,76
